Airfoil,CL,CD,Range_m,Time_s
FlatPlate,0.4,0.08,456.028164082576,10.7884816821939
Eppler387,0.8,0.021,610.848784602844,18.1349835779833
NACA2412,0.9,0.018,625.344174254292,19.5399600805265
